#{"t_start": 1676295043.749491, "env_id": null}
r,l,t
77,30,59.905274
99,5,59.917776
99,6,59.934013
-103,8,59.954853
97,8,59.978003
99,6,59.992903
-102,7,60.012747
92,14,60.045276
-143,51,60.175996
-144,51,60.303464
99,5,60.316284
-105,10,60.341572
86,19,60.390234
-106,11,60.418785
-145,51,60.544429
-107,12,60.57323
-109,15,60.611303
100,3,60.620174
-144,51,60.74963
91,14,60.784275
98,6,60.79834
66,41,60.901717
-125,31,60.981809
-107,12,61.00929
-101,6,61.023777
95,9,61.047095
-105,10,61.072799
76,32,61.152336
-143,51,61.283515
-101,5,61.296329
100,4,61.30326
-145,51,61.433043
96,8,61.451138
91,13,61.48516
-104,8,61.504382
-102,6,61.522664
-102,7,61.53852
82,25,61.600547
98,7,61.617022
92,13,61.651113
69,38,61.752256
-101,5,61.765877
-103,9,61.786957
-143,51,61.916249
68,39,62.012149
-144,51,62.143912
-118,24,62.196636
-143,51,62.325295
-101,6,62.339587
100,3,62.34481
-103,10,62.371667
91,14,62.408524
-101,4,62.419562
79,27,62.484581
-103,9,62.507576
-17,25,62.569108
96,9,62.591867
100,4,62.602895
89,18,62.645103
-114,20,62.695646
96,8,62.717496
-104,8,62.739288
89,18,62.781581
96,10,62.806799
-102,7,62.82782
60,47,62.941418
-144,51,63.066615
-105,10,63.092247
82,24,63.152947
87,19,63.201118
-105,10,63.226179
87,20,63.274887
-112,19,63.320572
-107,11,63.347428
-118,24,63.408676
-143,51,63.531685
94,10,63.557283
97,7,63.572601
91,15,63.610917
-101,6,63.625727
-106,9,63.649602
99,4,63.660652
-140,47,63.776617
81,26,63.844861
-110,16,63.887158
98,7,63.903214
-103,8,63.925175
-108,13,63.954312
-124,30,64.02848
98,7,64.048202
87,19,-143,51,64.13387
-103,8,6483,23,64.80,26,64.222324
91,13,64.25667
-144,51,64.381757
-143,51,64.504283
-133,40,64.604196
-144,51,64.725702
67,39,64.824346
95,10,64.85277
90,17,64.901621
-106,12,64.930945
87,19,64.981286
57,50,65.106287
99,7,65.122905
-134,41,6-144,51,6580,27,65.295682
97,7,65.3166,41,65.389031
-105,11,65.4162-11167,40,65.515237
-143,51,65.640089
74,32,65.721483
-144,51,65.846429
95,10,65.871516
-144,51,65.997169
-108,14,66.034049
-144,51,66.159264
92,14,66.195756
-111,16,66.235517689,18,66.282356
92,14,66.3143096-143,51,66.443417
88,19,66.48776-1488,19,66.537439-143,51,66.631868
-103,8,66.649529--113,19,66.697471
62,43,66.803571
-103,8,66.820633
81,26,66.88491
83,24,66.945283
-102,6,66.960373
-136,43,67.069833
-144,51,67.190127
-100,4,67.201924
-114,20,67.252398
-144,51,67.382384
-107,11,67.411138
92,15,67.449121
-109,15,67.487409
99,6,67.506426
-110,14,67.539505
-144,51,67.668196
92,13,67.698692
-144,51,67.826414
-101,4,67.838094
97,7,67.857846
-101,5,67.871482
96,8,67.889269
-106,13,67.923533
95,10,67.948596
-105,10,67.974528
-106,12,68.002933
-143,51,68.129074
83,23,68.186453
59,49,68.310118
68,38,68.410127
91,15,68.447361
-112,19,68.494437
97,8,68.515935
-143,51,68.642614
73,33,68.72732
97,8,68.745409
-104,10,68.77104
-101,5,68.783995
98,6,68.798276
-143,51,68.928509
73,34,69.009733
87,20,69.061348
88,18,69.113328
-102,8,69.135503
-107,13,69.165843
-144,51,69.291487
-143,51,69.420139
-144,51,69.544462
96,9,69.568269
95,10,69.59364
-101,6,69.608428
-143,51,69.734329
-116,23,69.79268
-102,7,69.8084-14386,20,69.861201
99,4,69.87409-10-143,51,70.005101
-118,24,70.065885
83,24,70.126281
-143,51,70.247706
95,11,70.274322
-107,12,70.303438
97,8,70.325245
-110,16,70.364257
98,7,70.384585
-107,14,70.41844
-144,51,70.548781
-144,51,70.676715
-118,23,70.732588
-143,51,70.862293
-113,17,70.904102
75,32,70.982451
-120,25,71.044297
99,6,71.062326
98,7,71.078736
98,8,71.099914
99,6,71.114772
-144,51,71.243155
-121,28,71.315374
97,8,71.332428
-105,9,71.354675
66,42,71.455617
-106,13,71.489482
-144,51,71.617975
94,11,71.644293
99,6,71.663483
66,40,71.762008
-102,6,71.777196
94,11,71.805047
-108,13,71.840715
62,44,71.945737
94,12,71.97775
-107,13,72.008242
86,20,72.057165
-107,13,72.09229
-101,6,72.106667
95,11,72.133691
-144,51,72.263756
99,5,72.27659367,39,72.305448
-111,17,72.346072
-120,27,72.417876
87,19,72.466971
66,41,72.567111
-144,51,72.694359
67,40,72.791758
-101,6,72.806958
82,25,72.870846
-101,5,72.883779
-111,17,72.928089
83,21,72.979896
97,9,73.003239
70,37,73.090312
-101,5,73.103208
-144,51,73.22893
-143,51,73.354357
94,11,73.385311
95,9,73.404745
73,33,73.490018
-144,51,73.612214
94,12,73.646729
-143,51,73.778162
-144,51,73.907067
98,7,73.922823
-100,5,73.935728
-100,4,73.947338
-100,4,73.958582
-105,11,73.985442
89,18,74.031545
-143,51,74.159827
76,29,74.234518
-143,51,74.358855
91,14,74.395157
-144,51,74.522456
-101,4,74.533674
-106,11,74.56098
-144,51,74.682367
89,17,74.728323
-102,8,74.74694
-107,12,74.779059
97,7,74.794632
-111,17,74.834572
98,7,74.854485
100,4,74.866525
66,41,74.974473
-105,11,75.001051
-110,16,75.038333
75,32,75.119725
-117,23,75.17418
85,21,75.221702
-144,51,75.350675
-104,7,75.366109
-110,16,75.404713
-100,4,75.416096
97,8,75.437362
-145,51,75.562168
-111,17,75.602245
-102,6,75.61586
94,10,75.640798
70,36,75.733586
-108,14,75.765559
98,8,75.787457
88,18,75.834616
80,27,75.900236
94,11,75.927611
-143,51,76.051601
-113,18,76.100102
84,22,76.154299
-144,51,76.286028
85,21,76.34199
-102,8,76.360017
93,13,76.395089
-108,14,76.430695
99,5,76.442966
-144,51,76.568509
-101,5,76.581753
98,5,76.595217
-106,10,76.623991
89,17,76.669053
96,8,76.690387
99,4,76.700836
-143,51,76.825251
92,14,76.860846
99,5,76.873341
100,3,76.878583
-101,7,76.898954
93,12,76.927793
-104,10,76.952248
-143,51,77.079434
-144,51,77.208495
-127,33,77.287808
84,23,77.346662
-110,15,77.385856
96,9,77.409238
-144,51,77.536141
82,25,77.598899
63,44,77.709739
-107,12,77.737197
99,5,77.749596
92,13,77.783627
-144,51,77.911076
85,21,77.963041
92,14,77.9992
-102,8,78.01707
-143,51,78.144222
87,19,78.189273
-103,7,78.209191
-106,12,78.237064
-144,51,78.363737
96,10,78.388338
-116,23,78.44737
-103,8,78.469128
96,10,78.494479
-103,8,78.513452
60,47,78.63445
-100,3,78.640119
69,37,78.735071
-100,4,78.742245
-144,51,78.868936
71,35,78.95722
-144,51,79.083512
78,29,79.153303
91,15,79.191404
93,14,79.224111
-144,51,79.35304
93,12,79.38082
-101,5,79.393754
-100,5,79.407132
87,19,79.455262
95,11,79.482198
-106,12,79.51091
-101,3,79.520155
99,6,79.533936
-144,51,79.66079
92,13,79.695252
-144,51,79.824787
-143,51,79.956817
-103,8,79.981776
-115,22,80.034947
-104,9,80.058412
-103,9,80.081145
-144,51,80.20677
-113,19,80.255087
-114,20,80.302635
94,12,80.33143
98,5,80.344285
-109,15,80.382893
-110,16,80.427213
95,12,80.456282
88,19,80.505234
-113,20,80.554697
96,8,80.572215
-106,11,80.602838
100,5,80.61561
93,12,80.644573
98,6,80.659368
100,3,80.668946
97,6,80.683736
-143,51,80.816746
62,45,80.930939
